STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,RANK
Kawhi Leonard,Los Angeles,Clippers,Norman Powell,11.407712418300648,7.7972136222910216,0.6191950464396285,0.524767801857585,2.466535947712412,34,False,4
Kawhi Leonard,Los Angeles,Clippers,Mo Bamba,7.895937888198757,2.3478260869565215,0.3509316770186335,2.6894409937888204,2.507739130434782,23,False,5
Keegan Murray,Sacramento,Kings,Trey Lyles,25.542329670329682,6.128571428571429,0.7428571428571429,3.1142857142857148,15.556615384615395,5,False,1
Keegan Murray,Sacramento,Kings,Keon Ellis,17.645442073170727,3.2764227642276413,0.3455284552845528,1.9186991869918697,12.104791666666664,6,False,2
Keegan Murray,Sacramento,Kings,Doug McDermott,8.184197368421053,2.3771929824561404,0.08771929824561403,0.3640350877192982,5.35525,6,False,3
Keegan Murray,Sacramento,Kings,Domantas Sabonis,6.011190476190483,1.4095238095238116,0.3619047619047615,-0.1999999999999993,4.439761904761909,6,False,4
Keegan Murray,Sacramento,Kings,DeMar DeRozan,4.443398268398265,3.6471861471861473,-0.556277056277056,0.054112554112554445,1.298376623376619,6,False,5
Kelly Oubre Jr.,Philadelphia,76ers,Adem Bona,19.486515426497284,7.597368421052632,0.25789473684210523,3.452631578947369,8.178620689655176,5,False,1
Kelly Oubre Jr.,Philadelphia,76ers,Ricky Council IV,10.346535248914138,1.9243902439024394,0.853658536585366,2.0756097560975606,5.492876712328773,5,False,2
Kelly Oubre Jr.,Philadelphia,76ers,Justin Edwards,-16.064999999999998,-4.533333333333333,-0.7499999999999999,-1.5166666666666666,-9.264999999999999,5,False,3
Kevin Durant,Phoenix,Suns,Josh Okogie,16.34265134099617,6.006896551724139,0.45517241379310347,2.924137931034483,6.956444444444445,10,False,1
Kevin Durant,Phoenix,Suns,Collin Gillespie,14.239023996773545,4.447368421052632,0.5578947368421052,1.3736842105263156,7.860076628352493,10,False,2
Kevin Durant,Phoenix,Suns,Oso Ighodaro,10.00317180766229,2.813636363636364,0.5515151515151514,1.8060606060606061,4.831959686450169,20,False,3
Kevin Durant,Phoenix,Suns,Grayson Allen,9.878998868778286,5.209276018099548,1.170814479638009,0.6798642533936654,2.8190441176470635,17,False,4
Kevin Durant,Phoenix,Suns,Ryan Dunn,7.935085388994307,2.0271493212669682,-0.004524886877828149,1.165610859728507,4.74685009487666,17,False,5
Keyonte George,Utah,Jazz,Collin Sexton,10.959865047233471,3.469230769230771,2.876923076923077,1.1923076923076925,3.421403508771931,10,False,1
Keyonte George,Utah,Jazz,Jordan Clarkson,8.97453996983409,4.423076923076922,1.333333333333333,0.7820512820512819,2.436078431372554,6,False,2
